Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
GET,/nacha-security/operations/{operationId},,NachaSecurityOperations,Sí,[{'Bearer': []}],Consulta de operación de seguridad
GET,/nacha-security/operations/audit,,NachaSecurityOperations,Sí,[{'Bearer': []}],Bitácora de auditoría de seguridad NACHA
POST,/nacha-security/operations/{operationId}/authorize-download,,NachaSecurityOperations,Sí,[{'Bearer': []}],Autorizar descarga de artefacto
GET,/nacha-security/operations/{operationId}/download,,NachaSecurityOperations,Sí,[{'Bearer': []}],Descarga de artefacto autorizado
POST,/NachaUpload/upload,,NachaUpload,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de upload nacha file dentro de operación NACHA-M para la ruta /NachaUpload/upload
GET,/NachaUpload/records,,NachaUpload,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta get uploaded records dentro de operación NACHA-M para la ruta /NachaUpload/records
GET,/navigation/menu,,Navigation,Sí,[{'Bearer': []}],Consulta de navigation: consulta get menu dentro de navigation para la ruta /navigation/menu
GET,/api/navigation-logs,,NavigationLogs,Sí,[{'Bearer': []}],Consulta de navigation logs: consulta get navigation logs dentro de navigation logs para la ruta /api/navigation-logs
POST,/api/navigation-logs,,NavigationLogs,Sí,[{'Bearer': []}],Registro de navigation logs: registra una solicitud de add navigation log dentro de navigation logs para la ruta /api/navigation-logs
POST,/Oauths/GenerateToken,,Oauths,No,None,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateToken
POST,/Oauths/GenerateTokenAsync,,Oauths,No,None,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateTokenAsync
GET,/api/users/password-rules,,PasswordRules,Sí,[{'Bearer': []}],Consulta de password rules: consulta get rules dentro de password rules para la ruta /api/users/password-rules
PUT,/api/users/password-rules,,PasswordRules,Sí,[{'Bearer': []}],Actualización de password rules: actualiza información de save rules dentro de password rules para la ruta /api/users/password-rules
GET,/api/payment-rails/capability-registry/rails,,PaymentRailCapabilityRegistry,Sí,[{'Bearer': []}],Inventario operativo de rieles en Capability Registry
GET,/api/payment-rails/capability-registry/rails/{railCode}/capabilities,,PaymentRailCapabilityRegistry,Sí,[{'Bearer': []}],Matriz efectiva de capacidades por riel y fecha operativa
GET,/api/payment-rails/capability-registry/rails/{railCode}/capabilities/{capabilityCode},,PaymentRailCapabilityRegistry,Sí,[{'Bearer': []}],Estado efectivo de una capacidad específica por riel
GET,/api/Permissions,,Permissions,Sí,[{'Bearer': []}],Consulta de permissions: consulta get permissions dentro de permissions para la ruta /api/Permissions
GET,/api/regulatory-catalogs/return-codes,,RegulatoryCatalogs,Sí,[{'Bearer': []}],Consulta de regulatory catalogs: consulta get return codes dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/return-codes
GET,/api/regulatory-catalogs/file-rejection-codes,,RegulatoryCatalogs,Sí,[{'Bearer': []}],Consulta de regulatory catalogs: consulta get file rejection codes dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/file-rejection-codes
GET,/api/regulatory-catalogs/transaction-type-policies,,RegulatoryCatalogs,Sí,[{'Bearer': []}],Consulta de regulatory catalogs: consulta get transaction type policies dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/transaction-type-policies
